"unidade_ensino","modalidade_ensino","tipo_curso","tipo_oferta","Ano","Status_Matricula","Quantidade"
"CTGC","Educação Presencial","FORMACAO CONTINUADA","Subsequente","2009","matriculado",0
"CTGC","Educação Presencial","TÉCNICO","Integrado","2009","matriculado",0
"CTGC","Educação Presencial","TÉCNICO","PROEJA - Concomitante","2009","matriculado",0
"CTGC","Educação Presencial","TÉCNICO","Subsequente","2009","matriculado",0
"IFB","Educação a Distancia","FORMACAO CONTINUADA","Outros","2009","matriculado",0
"IFB","Educação a Distancia","FORMACAO INICIAL","Concomitante","2009","matriculado",0
"IFB","Educação a Distancia","FORMACAO INICIAL","Outros","2009","matriculado",0
"IFB","Educação a Distancia","FORMACAO INICIAL","Subsequente","2009","matriculado",0
"IFB","Educação a Distancia","TÉCNICO","PROEJA - Integrado","2009","matriculado",0
"IFB","Educação a Distancia","TÉCNICO","Subsequente","2009","matriculado",0
"IFB","Educação Presencial","BACHARELADO","Outros","2009","matriculado",0
"IFB","Educação Presencial","ESPECIALIZACAO (LATO SENSU)","Outros","2009","matriculado",1
"IFB","Educação Presencial","FORMACAO CONTINUADA","Concomitante","2009","matriculado",156
"IFB","Educação Presencial","FORMACAO CONTINUADA","Outros","2009","matriculado",0
"IFB","Educação Presencial","FORMACAO CONTINUADA","PROEJA - Concomitante","2009","matriculado",0
"IFB","Educação Presencial","FORMACAO CONTINUADA","Subsequente","2009","matriculado",13
"IFB","Educação Presencial","FORMACAO INICIAL","Concomitante","2009","matriculado",0
"IFB","Educação Presencial","FORMACAO INICIAL","Outros","2009","matriculado",0
"IFB","Educação Presencial","FORMACAO INICIAL","PROEJA - Concomitante","2009","matriculado",0
"IFB","Educação Presencial","FORMACAO INICIAL","Subsequente","2009","matriculado",0
"IFB","Educação Presencial","LICENCIATURA","Outros","2009","matriculado",0
"IFB","Educação Presencial","MESTRADO PROFISSIONAL","Outros","2009","matriculado",0
"IFB","Educação Presencial","TÉCNICO","Concomitante","2009","matriculado",0
"IFB","Educação Presencial","TÉCNICO","Integrado","2009","matriculado",182
"IFB","Educação Presencial","TÉCNICO","PROEJA - Concomitante","2009","matriculado",0
"IFB","Educação Presencial","TÉCNICO","PROEJA - Integrado","2009","matriculado",0
"IFB","Educação Presencial","TÉCNICO","Subsequente","2009","matriculado",290
"IFB","Educação Presencial","TECNOLOGIA","Outros","2009","matriculado",0
"IFB","Todos","FORMACAO CONTINUADA","Subsequente","2009","matriculado",0
"CBRA","Educação a Distancia","FORMACAO CONTINUADA","Outros","2010","matriculado",0
"CBRA","Educação a Distancia","FORMACAO INICIAL","Concomitante","2010","matriculado",0
"CBRA","Educação a Distancia","TÉCNICO","Subsequente","2010","matriculado",0
"CBRA","Educação Presencial","ESPECIALIZACAO (LATO SENSU)","Outros","2010","matriculado",112
"CBRA","Educação Presencial","FORMACAO CONTINUADA","Outros","2010","matriculado",366
"CBRA","Educação Presencial","FORMACAO INICIAL","Outros","2010","matriculado",92
"CBRA","Educação Presencial","FORMACAO INICIAL","Subsequente","2010","matriculado",0
"CBRA","Educação Presencial","LICENCIATURA","Outros","2010","matriculado",33
"CBRA","Educação Presencial","MESTRADO PROFISSIONAL","Outros","2010","matriculado",0
"CBRA","Educação Presencial","TÉCNICO","Concomitante","2010","matriculado",33
"CBRA","Educação Presencial","TÉCNICO","Integrado","2010","matriculado",0
"CBRA","Educação Presencial","TÉCNICO","Subsequente","2010","matriculado",0
"CBRA","Educação Presencial","TECNOLOGIA","Outros","2010","matriculado",0
